# trusted-reasons.tsv — WHY each live `#@ \trusted` marker in src/self-annotate/src is trusted.
#
# OUT OF BAND ON PURPOSE. A token on the marker line makes Module2 REFUSE THE WHOLE FILE (no .mlw,
# a false green in a common-files byte diff) — see
# getting-better/open-routes/finding-reason-token-refuses-the-whole-file.md. Never tag the marker.
#
# Held in lock-step with the markers by bin/check-trusted-reasons.py (both directions, grammar,
# cite, zero-input guard, MAX_UNCLASSIFIED ratchet). Fix drift with
#   bin/check-trusted-reasons.py --sync            (print rows to add / delete)
#   bin/check-trusted-reasons.py --sync --write    (apply; surviving rows keep their reason)
#
# SCHEMA: file<TAB>qualname<TAB>reason<TAB>cite, one row per live marker.
#   file      relative to src/self-annotate/src
#   qualname  FULL nested qualname of the governed def (Class.method.inner), NEVER a line number.
#             Collisions within a file: among ALL defs sharing the qualname (trusted or not), the
#             first in source order is bare, the second `#2`, the third `#3`, ...
#   reason    correctness:<name>       never convertible (a correctness wall)      cite REQUIRED
#             cost-scale:<capability>  convertible once <capability> is built     cite REQUIRED
#             spent-rc0                deliberately spent to buy rc=0
#             unclassified             THE DEFAULT; ratcheted toward zero
#   cite      `-`, or a heading of getting-better/driver-backlog.md: the exact heading text, or a
#             substring of exactly ONE heading's text (outside ``` fences).
#
# A correctness:/cost-scale: tag is a CLAIM, and this repo's boundary claims have been refuted
# repeatedly. Tag only with a cite to the paragraph that measured it; when in doubt, unclassified.
file	qualname	reason	cite
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler.__init__	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._build_callee_no_exception_summary	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._wrap_call_with_callee_raises_assert	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._render_callee_condition	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._maybe_emit_no_exception_assert	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler.transpile	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._compute_shared_module_maps	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._emit_prefunctions_infra	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._reset_module_accumulators	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._sig_val_from_let	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._transpile_modular	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._transpile_modular._emit_funcs	unclassified	-
Module6_WhyMLTranspiler.py	Module6_WhyMLTranspiler._shared_use_lines	unclassified	-
audit_proof.py	AuditReport.extend	unclassified	-
audit_proof.py	_extract_directives	unclassified	-
audit_proof.py	_parse_rocq_file	unclassified	-
audit_proof.py	_parse_lean_file	unclassified	-
audit_proof.py	_index_proofs_dir	unclassified	-
audit_proof.py	_audit_one_prover	unclassified	-
