# witness	class	message — produced by the gen #30 census sweep (every `# pycsl-expected: FAIL` corpus witness run through the pipeline).
neg_001_wrong_postcondition.py	VERIFY-FAIL	
neg_002_broken_invariant.py	VERIFY-FAIL	
0010.py	VERIFY-FAIL	
0050.py	VERIFY-FAIL	
0210.py	VERIFY-FAIL	
0254.py	REFUSAL	Function 'bad_worker': unprotected write to shared variable 'counter' (protected_by 'lock_counter', but held mutexes are none).
0255.py	REFUSAL	Function 'bad_nested': nested mutex acquisition of 'lock_b' while holding ['lock_a'] requires a module-level '#@ lock_order' declaration.
0256.py	VERIFY-FAIL	
0281.py	REFUSAL	Invalid use of '\result' in function 'bad_precondition'. It is only allowed in 'ensures'.
0282.py	REFUSAL	Invalid use of '\result' in while loop at line 10 inside function 'bad_loop'. It is only allowed in 'ensures'.
0283.py	REFUSAL	Undefined variable 'unknown_var' referenced in contract for function 'bad_postcondition'. Available variables in scope: ['x']
0284.py	REFUSAL	Undefined variable 'max_allowed' in class invariant for 'BadClass'. Class invariants should only reference self.field or constants. Available fields: ['_value']
0285.py	REFUSAL	Undefined variable 'limit' in class invariant for 'TypoClass'. Class invariants should only reference self.field or constants. Available fields: ['_value']
0302.py	REFUSAL	\proj index must be an integer literal in function 'bad_dynamic_proj'. Dynamic projection is not supported.
0303.py	VERIFY-FAIL	
0304.py	REFUSAL	Ghost string variable 'acc' does not support '+=' in function 'bad_string_aug'. Use the ^ operator for string concatenation: #@ ghost acc = acc ^ expr
0317.py	REFUSAL	\proj index must be an integer literal in function 'bad_proj'. Dynamic projection is not supported.
0356.py	REFUSAL	function 'conflicted' (line 11): contradictory annotations — no_exception ZeroDivisionError and raises { ZeroDivisionError -> ... } cannot both apply.
0357.py	REFUSAL	function 'passthrough' (line 8): no_exception names unknown exception 'NotARealException'. Known: ['IndexError', 'KeyError', 'StopIteration', 'ValueError', 'ZeroDivisionError'].
0360.py	VERIFY-FAIL	
0367.py	VERIFY-FAIL	
0386.py	REFUSAL	`external_helper(...)` is not a function of the verified program and not on the list of operations known never to raise the exceptions `#@ no_exception` tracks, and this function claims `#@ no_exception`. Such a call lowers to an abstract `val` with no `raises`, so the claim would be proved by ASSUMPTION (route #161; measured: `"{1}".format(0)` proved IndexError-freedom and `math.factorial(-1)` ValueError-freedom while CPython raises). Give the callee a contract (a stub with `#@ raises`), or drop the exception from the context.
0392.py	VERIFY-FAIL	
0393.py	REFUSAL	function 'conflicted' (line 9): no_exception \all requires the raises set to be empty; found raises { ZeroDivisionError -> ... }.
0396.py	REFUSAL	/home/fabrice/git/pycsl/test-suite/corpus/pycsl-reference/0396.py (line 4): import 'ctypes' is on the C-extension deny-list. Either annotate the importing function(s) with `#@ \trusted` to acknowledge that the boundary is excluded from verification, or pass `--allow-unverified-imports` to opt out of the check. See config/skills/pycsl-ub-catalog/SKILL.md §7.4.
0398.py	REFUSAL	/home/fabrice/git/pycsl/test-suite/corpus/pycsl-reference/0398.py (line 4): import 'cffi' is on the C-extension deny-list. Either annotate the importing function(s) with `#@ \trusted` to acknowledge that the boundary is excluded from verification, or pass `--allow-unverified-imports` to opt out of the check. See config/skills/pycsl-ub-catalog/SKILL.md §7.4.
0401.py	REFUSAL	Class 'WithFinalizer' (line 5): `__del__` finalizer is rejected under UB-7.5. Finalizer timing is non-deterministic in CPython and cannot be soundly modelled in WhyML. Either remove `__del__` or annotate the class with `#@ allow_finalizer` to acknowledge that any lifetime-dependent contracts are at risk. See config/skills/pycsl-ub-catalog/SKILL.md §7.5.
0404.py	REFUSAL	/home/fabrice/git/pycsl/test-suite/corpus/pycsl-reference/0404.py (function 'append_during_for', for-loop near line 8): UB-7.1 — the loop body mutates the iterated collection 'arr'. This is undefined behaviour in CPython (iterator state corruption). Either rewrite to iterate over a snapshot (`for k in list(arr):`) or annotate the loop with `#@ allow_iteration_mutation` to acknowledge the boundary. See config/skills/pycsl-ub-catalog/SKILL.md §7.1.
0405.py	REFUSAL	/home/fabrice/git/pycsl/test-suite/corpus/pycsl-reference/0405.py (function 'pop_during_for', for-loop near line 8): UB-7.1 — the loop body mutates the iterated collection 'arr'. This is undefined behaviour in CPython (iterator state corruption). Either rewrite to iterate over a snapshot (`for k in list(arr):`) or annotate the loop with `#@ allow_iteration_mutation` to acknowledge the boundary. See config/skills/pycsl-ub-catalog/SKILL.md §7.1.
0412.py	VERIFY-FAIL	
0415.py	REFUSAL	/home/fabrice/git/pycsl/test-suite/corpus/pycsl-reference/0415.py: UB-7.3 — concurrent race detected: Variable 'counter' declared shared but has no protected_by mutex. All accesses are potential data races.. Run without --strict-concurrent-checks to downgrade to a warning, or protect the access with `#@ critical <mutex>` / `#@ shared <var> protected_by <mutex>`. See config/skills/pycsl-ub-catalog/SKILL.md §7.3.
0456.py	VERIFY-FAIL	
0458.py	VERIFY-FAIL	
0460.py	VERIFY-FAIL	
0462.py	REFUSAL	`happy region_integrity`: trusted/abstract function 'ext_scrub' is not exempt and has no checkable body, so it could write the protected region [512, 2560) of self.disk. Add `#@ \preserves` to promise it preserves the region (an assumed postcondition), or list it in `except`.
0497.py	REFUSAL	Class 'Singleton' (line 12): non-trivial `__new__` is rejected under UB-7.6. Allocation interposition (caching, singletons, returning a different instance, or conditional allocation) cannot be soundly modelled — construction `C(...)` is a fresh record literal. Only `return super().__new__(cls)` / `return object.__new__(cls)` is accepted (it is the default allocation, populated by `__init__`). See config/skills/pycsl-ub-catalog/SKILL.md §7.6.
0504.py	VERIFY-FAIL	
0507.py	VERIFY-FAIL	
